Ding J. , Walden R. , 4:3 ,0.61,1.38,2015, Asian Tour 1
Ding J. , Robertson J. , 4:2 ,0.31,2.56,2015, Asian Tour 1
Walden R. , Milkins R. , 4:1 ,0.67,1.25,2015, Asian Tour 1
Ding J. , Anda Z. , 4:3 ,0.27,2.83,2015, Asian Tour 1
Walden R. , Fernandez L. , 4:1 ,0.32,2.45,2015, Asian Tour 1
Robertson J. , Un-Nooh T. , 4:3 ,1.02,0.81,2015, Asian Tour 1
Milkins R. , Woollaston B. , 4:2 ,0.7,1.19,2015, Asian Tour 1
Haotian L. , Bing M. , 4:2 ,0.58,1.37,2015, Asian Tour 1
Higgins J. , Yuan L. , 4:2 ,0.2,3.55,2015, Asian Tour 1
Pengfei T. , O'Donnell M. , 4:2 ,0.4,1.99,2015, Asian Tour 1
Dale D. , Donaldson S. , 4:2 ,0.56,1.43,2015, Asian Tour 1
Fernandez L. , Li H. , 4:0 ,2.37,0.33,2015, Asian Tour 1
Woollaston B. , Ford T. , 4:1 ,0.65,1.25,2015, Asian Tour 1
Walden R. , Georgiou M. , 4:1 ,0.31,2.42,2015, Asian Tour 1
Milkins R. , Thirapongpaiboon T. , 4:0 ,0.33,2.31,2015, Asian Tour 1
Ding J. , Lines P. , 4:3 ,0.17,4.03,2015, Asian Tour 1
King M. , Fan L. , 4:0 ,0.37,2.13,2015, Asian Tour 1
Guodong X. , Zhou Y. , 4:1 ,0.69,1.17,2015, Asian Tour 1
Anda Z. , Maflin K. , 4:1 ,1.3,0.62,2015, Asian Tour 1
Fu M. , O'Sullivan S. , 4:3 ,0.33,2.31,2015, Asian Tour 1
Robertson J. , Pinches B. , 4:3 ,0.42,1.89,2015, Asian Tour 1
Un-Nooh T. , Jianzhong C. , 4:2 ,0.29,2.65,2015, Asian Tour 1
Liang W. , Xiwen M. , 4:2 ,0.27,2.83,2015, Asian Tour 1
Bing M. , Steadman C. , 4:2 ,1.31,0.62,2015, Asian Tour 1
Ding J. , Jun T. , 4:0 ,0.13,4.95,2015, Asian Tour 1
Georgiou M. , Zhuang N. , 4:3 ,0.86,0.94,2015, Asian Tour 1
Guodong X. , Yang Z. , 4:1 ,0.46,1.75,2015, Asian Tour 1
Haotian L. , Lam S. , 4:1 ,0.79,1.04,2015, Asian Tour 1
Higgins J. , Zhen G. , 4:2 ,0.21,3.35,2015, Asian Tour 1
O'Donnell M. , Wilson G. , 4:2 ,1.08,0.75,2015, Asian Tour 1
Walden R. , Zhiwei O. , 4:2 ,0.15,4.5,2015, Asian Tour 1
Fernandez L. , Hanyang Z. , 4:0 ,0.6,1.34,2015, Asian Tour 1
Li H. , Davison P. , 4:3 ,0.52,1.54,2015, Asian Tour 1
Fu M. , Cahill J. , 4:1 ,0.31,2.49,2015, Asian Tour 1
Jianzhong C. , Zhong H. , 4:2 ,0.9,0.9,2015, Asian Tour 1
Pengfei T. , Feilong Ch. , 4:0 ,0.47,1.68,2015, Asian Tour 1
Thirapongpaiboon T. , Glover I. , 4:0 ,0.52,1.54,2015, Asian Tour 1
Dale D. , Sijun Y. , 4:0 ,0.35,2.17,2015, Asian Tour 1
O'Sullivan S. , Pengcheng Y. , 4:1 ,0.33,2.34,2015, Asian Tour 1
Donaldson S. , Saengkham N. , 4:1 ,1.25,0.65,2015, Asian Tour 1
Ford T. , Maimaiti R. , 4:1 ,0.44,1.82,2015, Asian Tour 1
Zhou Y. , Brown O. , 4:2 ,0.27,2.73,2015, Asian Tour 1
Anda Z. , Hao H. , 4:3 ,0.38,2.02,2015, Asian Tour 1
Maflin K. , Muir R. , 4:2 ,0.44,1.81,2015, Asian Tour 1
Xiwen M. , Poomjaeng D. , 4:0 ,1.81,0.44,2015, Asian Tour 1
Lines P. , Zepeng W. , 4:2 ,0.67,1.21,2015, Asian Tour 1
Muir R. , Sihong C. , 4:3 ,0.22,3,2015, Asian Tour 1
Anda Z. , Peng S. , 4:2 ,0.16,4,2015, Asian Tour 1
Guoqiang H. , Chuan Leong T. , 4:3 ,2.75,0.25,2015, Asian Tour 1
Hao H. , Allen G. , 4:1 ,1.1,0.66,2015, Asian Tour 1
Bingham S. , Lines O. , 4:0 ,0.36,2.02,2014, Asian Tour 2
Bingham S. , Selt M. , 4:1 ,0.42,1.75,2014, Asian Tour 2
Lines O. , Robertson J. , 4:3 ,1.04,0.72,2014, Asian Tour 2
Bingham S. , Ding J. , 4:0 ,1.31,0.58,2014, Asian Tour 2
Lines O. , Day R. , 4:2 ,1.69,0.45,2014, Asian Tour 2
Robertson J. , Pengfei T. , 4:2 ,0.87,0.87,2014, Asian Tour 2
Selt M. , Ebdon P. , 4:3 ,1.17,0.66,2014, Asian Tour 2
Bingham S. , Muir R. , 4:3 ,0.3,2.4,2014, Asian Tour 2
Selt M. , White J. , 4:0 ,0.66,1.1,2014, Asian Tour 2
Day R. , Cao Y. , 4:1 ,0.53,1.48,2014, Asian Tour 2
Dott G. , King M. , 4:1 ,0.46,1.65,2014, Asian Tour 2
Pengfei T. , Li H. , 4:3 ,0.81,1.02,2014, Asian Tour 2
Lines O. , Zhou Y. , 4:2 ,1.26,0.65,2014, Asian Tour 2
Bingham S. , Xintong Z. , 4:2 ,0.43,1.86,2014, Asian Tour 2
Perry J. , Davis M. , 4:0 ,0.68,1.15,2014, Asian Tour 2
Ding J. , Pinches B. , 4:1 ,0.23,3.2,2014, Asian Tour 2
Ebdon P. , Donaldson S. , 4:2 ,0.63,1.3,2014, Asian Tour 2
Muir R. , Steadman C. , 4:0 ,1.38,0.59,2014, Asian Tour 2
Dott G. , Kaisheng C. , 4:2 ,0.16,4,2014, Asian Tour 2
Lines O. , Lin Z. , 4:1 ,0.18,3.5,2014, Asian Tour 2
Bingham S. , Yan B. , 4:1 ,0.1,6,2014, Asian Tour 2
Ding J. , Yong Z. , 4:2 ,0.11,5.5,2014, Asian Tour 2
Davis M. , Glover I. , 4:1 ,0.28,2.5,2014, Asian Tour 2
White J. , Poomjaeng D. , 4:0 ,1.37,0.53,2014, Asian Tour 2
Li H. , O'Sullivan S. , 4:2 ,0.53,1.37,2014, Asian Tour 2
Selt M. , Burns I. , 4:0 ,0.72,1,2014, Asian Tour 2
Bingham S. , Bulajiang A. , 4:1 ,0.03,11.29,2014, Asian Tour 2
Day R. , Kai D. , 4:0 ,0.03,11.29,2014, Asian Tour 2
Walden R. , Xiaowei Y. , 4:0 ,0.04,10.29,2014, Asian Tour 2
Joyce M. , Jun Z. , 4:3 ,0.1,5.56,2014, Asian Tour 2
King M. , Yaochen Ch. , 4:0 ,0.04,8.61,2014, Asian Tour 2
Williams M. , Hanxuan Z. , 4:0 ,0.04,8.61,2014, Asian Tour 2
Zhuang N. , Maflin K. , 4:2 ,7.61,0.06,2014, Asian Tour 2
Davis M. , Zepeng W. , 4:0 ,0.06,7.11,2014, Asian Tour 2
Dott G. , Mingqi G. , 4:2 ,0.04,10.29,2014, Asian Tour 2
Muir R. , Jiahao H. , 4:3 ,0.11,5.04,2014, Asian Tour 2
Pengfei T. , Lin Tang Ho A. , 4:3 ,0.04,8.61,2014, Asian Tour 2
Ebdon P. , Jiaxing R. , 4:1 ,0.04,9.61,2014, Asian Tour 2
Pinches B. , Junjie B. , 4:0 ,0.04,9.61,2014, Asian Tour 2
Jun T. , Bing M. , 4:1 ,0.5,1.5,2014, Asian Tour 2
Steadman C. , Jiuwei L. , 4:0 ,0.05,10,2014, Asian Tour 2
Perry J. , Un-Nooh T. , 4:1 ,0.54,1.42,2014, Asian Tour 3
